#{"t_start": 1763241569.4602761, "env_id": "GridWorld-v0"}
r,l,t
-9.75,95,0.985963
-30.71,200,1.002956
-23.39,172,1.015881
-19.11,140,1.026882
-27.74,200,1.045873
1.45,64,1.050874
-35.66,200,1.113875
-32.69,200,1.209389
-7.69,87,1.267381
1.62,47,1.291381
-23.78,200,1.390381
-27.74,200,1.486477
-20.81,200,1.58749
-25.47,182,1.677479
-26.75,200,1.778477
-23.78,200,1.871476
2.44,64,1.916504
1.26,83,1.961502
-27.74,200,2.059502
-17.84,200,2.1595
-20.81,200,2.280634
-26.75,200,2.385697
-6.05,121,2.447793
-7.07,124,2.509798
-22.79,200,2.616796
-2.05,117,2.678796
-7.16,133,2.750797
-3.77,91,2.7988
4.4,66,2.840796
1.47,62,2.872796
-7.87,105,2.926796
-2.59,72,2.964796
-5.71,87,3.021028
-10.62,182,3.113029
-2.62,75,3.155028
7.66,37,3.616492
-2.98,111,3.688495
-0.43,54,3.720492
5.79,26,3.735493
1.6,49,3.770494
7.49,54,3.804492
6.59,45,3.829493
-12.47,169,3.922494
3.59,48,3.950492
6.43,61,3.9925
-10.19,139,4.063494
9.71,30,4.078492
-0.55,66,4.120497
1.51,58,4.157493
7.51,52,4.184492
-10.17,137,4.260492
-1.87,99,4.313492
5.46,59,4.353999
5.9,114,4.421485
5.51,54,4.450999
2.97,110,4.510104
0.72,38,4.538106
8.65,37,4.560098
4.33,73,4.599098
8.45,57,4.631397
-8.98,117,4.694391
5.6,45,4.720391
8.53,49,4.745392
-7.47,65,4.783392
1.34,75,4.83339
8.6,42,4.857392
-19.0,129,4.923391
3.56,51,4.954391
8.76,26,4.979389
8.56,46,5.005393
6.65,39,5.02639
3.62,45,5.047389
3.48,59,5.091392
-30.75,116,5.156399
5.63,42,5.178392
-2.24,37,5.204391
-6.87,104,5.264391
7.79,24,5.277393
9.78,23,5.289392
-23.66,100,5.350392
-21.64,96,5.449204
4.73,33,5.472203
7.67,36,5.490203
6.77,27,5.506203
9.67,34,5.535214
6.75,29,5.553204
7.64,39,5.577204
0.49,61,5.611203
4.37,69,5.657205
0.58,52,5.686205
8.74,28,5.708203
3.73,34,5.727203
7.8,23,5.751207
7.72,31,5.768208
-13.67,91,5.820205
4.55,51,5.849204
6.73,31,5.876682
9.81,20,5.893679
-20.33,64,5.93268
7.63,40,5.959984
9.85,16,5.979988
-35.68,114,6.048223
7.78,25,6.062224
2.78,30,6.08422
6.78,26,6.108262
2.63,45,6.13926
7.84,19,6.150259
9.83,18,6.16326
7.83,20,6.183262
9.6,41,6.211261
3.62,45,6.24226
0.68,42,6.27126
1.61,48,6.30726
6.65,39,6.331262
1.72,37,6.354263
9.86,15,6.365263
7.66,37,6.393469
5.33,72,6.439471
2.73,35,6.461469
-5.89,105,6.527469
4.76,30,6.554694
0.53,57,6.589668
3.81,26,6.604673
3.72,35,6.627723
-6.55,72,6.678257
2.69,39,6.701258
1.76,33,6.721259
