#{"t_start": 1763240285.0248914, "env_id": "LunarLander-v3"}
r,l,t
-162.339975,61,9.284547
-257.857793,99,9.331758
-337.257047,118,9.391965
-121.966728,63,9.420505
-133.418425,91,9.461632
-112.278308,63,9.492315
-216.841116,85,9.531452
-159.215732,123,9.589339
-155.196967,86,9.629461
-394.739076,104,9.675702
-200.124912,139,9.959738
-52.48693,80,10.003517
-520.197326,96,10.061575
-248.103804,101,10.11876
-156.264758,71,10.161865
-258.353715,110,10.215238
-263.168645,67,10.24881
-136.772741,87,10.289502
-81.24574,93,10.33165
-121.397263,79,10.370378
-349.355688,114,10.421988
-13.924905,114,10.487194
-126.348908,82,10.709256
-91.449706,99,10.76585
-218.01037,126,10.835068
-311.521806,113,10.89301
-254.068057,62,10.92758
-375.860969,92,10.969265
-144.545052,147,11.035468
-311.873036,115,11.08625
-138.215085,107,11.135792
-247.951306,110,11.361741
-93.795932,63,11.393865
-416.733172,131,11.458446
-85.499698,136,11.528487
-163.380034,94,11.581102
-97.525296,73,11.619215
-60.12007,131,11.682839
-342.705224,107,11.731474
-129.871722,76,11.765537
-300.967777,84,11.807243
-125.376233,119,12.043135
-79.046518,59,12.073167
-185.814012,81,12.114211
-61.365657,73,12.15291
-87.333935,85,12.192959
-62.62434,87,12.237122
-137.173301,64,12.267525
-183.704567,64,12.295668
-92.161253,90,12.338239
-260.090729,99,12.3861
-241.086511,115,12.439264
-96.254454,64,12.470787
-98.507173,80,12.506885
-122.594919,78,12.723792
-112.208994,102,12.779754
-68.978933,76,12.822913
-96.438119,127,12.893053
-40.989234,73,12.932621
-116.513795,85,12.973884
-86.22279,89,13.017406
-62.955883,122,13.074608
-184.798344,135,13.137384
-269.421466,166,13.212861
-319.038351,92,13.456496
-144.142416,87,13.504171
-120.978825,79,13.545334
-78.56537,70,13.584768
-96.789601,73,13.625239
-86.965225,64,13.657001
-166.7711,149,13.724673
-121.748753,113,13.779833
-320.166242,84,13.819027
-187.342879,89,13.858635
-333.102115,86,13.900702
-328.020441,95,14.124138
-203.499107,103,14.180227
-302.25244,90,14.229197
-168.953842,85,14.269279
-89.030483,78,14.309867
-94.604151,67,14.359331
-118.803183,110,14.413999
-62.522835,76,14.478329
-300.348736,87,14.535747
-186.094946,93,14.587315
-171.637617,71,14.628901
-45.78357,117,14.696562
-254.905243,125,14.981291
-292.317461,78,15.029111
-89.849325,79,15.073075
-65.943255,65,15.122021
-74.957398,98,15.171219
-216.326657,120,15.233015
-78.744311,58,15.260077
-134.04598,102,15.310676
-241.996515,75,15.352129
-280.110578,85,15.403196
-123.189859,83,15.448836
-101.157838,105,15.689848
-111.971548,63,15.722872
-119.251171,99,15.776961
-9.300712,166,15.86903
-134.134985,71,15.903141
-218.443732,89,15.942161
-130.184786,68,15.97528
-109.683572,80,16.011852
-83.62937,64,16.040925
-228.314655,115,16.50642
-128.18939,98,16.556625
-121.238959,84,16.775099
-75.936966,78,16.815883
-89.363732,63,16.853576
-77.53672,65,16.890145
-48.03387,85,16.935189
-116.653311,90,16.985517
-261.607397,135,17.049182
-147.04421,88,17.091395
-342.738599,125,17.151656
-90.390701,70,17.186727
-141.852303,92,17.233385
-341.033079,90,17.28083
-116.526647,128,17.531002
-103.217868,91,17.575541
-170.420654,94,17.626122
-217.623934,129,17.693356
-55.430089,136,17.758028
-113.900968,149,17.823697
-78.50467,92,17.871287
-161.919308,113,17.923384
-109.516161,66,17.956569
-68.867407,63,18.169601
-103.783748,72,18.209731
-159.556933,137,18.287442
-126.107676,90,18.336568
-84.197613,90,18.384691
-243.143581,96,18.431365
-24.961074,112,18.482004
-78.917973,74,18.521099
-57.011783,67,18.551377
-305.085194,130,18.613199
-17.217707,105,18.664313
-132.570337,87,18.884976
-8.780632,84,18.934542
-245.937924,124,18.999627
-213.27138,89,19.048256
-104.570609,106,19.100124
-84.636445,86,19.138319
-107.286138,74,19.176486
-173.697177,124,19.233092
-115.242308,93,19.277676
-119.556438,118,19.330554
-175.105312,90,19.563164
-132.645696,115,19.624758
-121.867361,70,19.658266
-125.405236,85,19.70483
-89.346727,141,19.777072
-217.685696,122,19.836559
-111.640642,74,19.870127
-83.350272,93,19.911371
-52.895136,88,19.955778
-97.877557,82,19.99234
-207.778313,142,20.058524
-127.070855,78,20.287835
-171.367203,117,20.353917
-92.56049,82,20.399217
-177.368939,135,20.468781
-275.278312,101,20.515852
-69.635421,66,20.545396
-151.970524,88,20.586439
-139.638303,71,20.619579
-50.489433,66,20.649178
-129.217578,88,20.690509
-167.813188,130,20.754662
-98.305141,79,21.027746
-188.100285,102,21.081817
-70.780193,80,21.128456
-147.127053,97,21.177047
-119.385154,108,21.227235
-101.208427,106,21.279026
-170.12048,112,21.329217
-118.982837,115,21.386393
-176.674437,127,21.443134
-130.30747,91,21.486233
-78.379794,97,21.723318
-42.940468,86,21.767951
-179.594953,112,21.825053
-219.887222,109,21.877641
-52.248904,116,21.934277
-46.823641,75,21.96704
-190.44698,143,22.03505
-105.18386,119,22.089636
-248.307729,142,22.156093
-150.288537,100,22.379353
-155.951045,109,22.441602
-29.882312,78,22.487329
-90.386651,73,22.525877
-103.28648,108,22.580483
-189.962746,137,22.646669
-88.995369,79,22.684722
-116.25226,109,22.736917
-200.845801,117,22.791611
-196.91003,94,22.835742
-67.396803,80,23.074568
-108.099333,88,23.125633
-120.326924,72,23.165173
-137.257077,99,23.216912
-74.986617,127,23.286844
-94.547734,80,23.326205
-89.72388,70,23.97956
-106.69209,92,24.051518
-73.956143,96,24.099036
-46.617906,75,24.136676
-117.568066,88,24.176773
-86.203957,86,24.218876
-26.872166,158,24.481588
-223.5846,148,24.565139
-78.560497,84,24.608785
-298.847649,155,24.684637
-146.139231,85,24.723231
-131.006085,131,24.789529
-65.280788,122,24.846206
-19.637292,120,24.905346
-157.499532,132,25.160357
-117.179351,107,25.220742
-178.306155,219,25.341577
-153.506109,117,25.395712
-124.448014,116,25.45383
-189.027875,140,25.524032
-138.945155,86,25.570215
-35.275478,94,25.615805
-108.275815,96,25.849453
-76.189548,140,25.923095
-113.942115,93,25.979036
-108.596537,175,26.065784
-141.661714,91,26.11309
-131.18263,106,26.161722
-63.70024,145,26.236405
-190.826142,143,26.309036
30.212644,86,26.353103
-110.94504,109,26.626385
-165.762873,84,26.673983
-123.549043,93,26.721529
-124.074613,110,26.784128
-73.541311,85,26.823345
-100.407532,79,26.863662
-83.682066,96,26.937877
-197.20625,134,27.013024
-75.966137,95,27.060109
-85.690379,113,27.117279
-26.161886,122,27.361455
-46.971745,77,27.406244
-145.647525,148,27.486864
-75.265439,98,27.537152
-116.897619,113,27.589786
-108.844655,80,27.629141
-192.61928,98,27.676877
-147.962317,109,27.726999
-201.595396,99,27.779604
-77.85318,93,27.825702
-77.155886,132,28.077493
-82.976512,115,28.143678
-93.128131,127,28.211677
-142.349194,119,28.267901
-250.302963,131,28.334066
-150.237128,158,28.408749
-96.896547,104,28.45741
-234.572511,114,28.51655
-100.535334,137,28.776328
-157.156734,110,28.831657
-92.2125,90,28.881226
15.388836,125,28.945161
-38.059618,128,29.007378
-205.191005,113,29.058756
-79.949741,97,29.105372
11.990971,92,29.148507
-212.835128,134,29.211669
-89.852114,100,29.44773
-71.575846,95,29.501323
-118.556129,101,29.55562
-116.331155,105,29.613392
-100.44062,93,29.658026
-160.448146,107,29.704774
-135.510151,111,29.758938
-140.542097,102,29.810178
-143.33003,122,29.878048
-207.206657,107,29.933215
-17.320436,88,30.204607
-60.314897,67,30.249071
-46.995915,90,30.3182
-61.461907,88,30.374458
-53.199339,104,30.436272
-83.199767,86,30.47836
-161.021329,115,30.538593
-136.559258,80,30.577693
-109.981618,110,30.638124
-91.094734,114,30.69073
-214.287844,115,30.941539
-5.513935,138,31.014833
-73.109689,144,31.091902
-85.115119,132,32.287899
-104.645202,119,32.348263
-36.79727,139,32.414923
-67.442991,134,32.481874
-112.659647,99,32.528257
-91.15142,95,32.571576
-170.987777,173,32.844661
-114.403064,88,32.890088
-53.318402,74,32.929489
-246.263805,124,32.988578
-105.137478,75,33.025937
-77.982203,84,33.06554
-186.102569,152,33.131134
-96.388228,130,33.194501
-52.18782,66,33.227109
-77.341132,140,33.473675
-54.619375,73,33.51188
-97.393424,107,33.563062
-88.736265,99,33.618173
-51.265245,117,33.676596
-70.006821,90,33.721683
-39.023339,81,33.758322
-87.493128,69,33.789862
-95.83618,115,33.848765
-225.635747,110,33.901525
-70.797135,91,33.945663
-246.976614,138,34.20521
-60.122965,123,34.270822
-26.365592,84,34.316
-93.67457,82,34.356953
-114.278046,101,34.40558
-194.849228,90,34.446146
-54.372115,71,34.481858
-243.174711,112,34.533521
-71.315785,130,34.597679
-62.889681,121,34.844081
3.282709,173,34.935505
-41.206783,86,34.979544
-51.374415,97,35.036564
-87.58723,67,35.067094
-100.161148,129,35.130921
-86.066848,80,35.167992
-83.587533,127,35.231625
-42.306928,70,35.26571
-5.915283,94,35.310815
-95.996485,139,35.567669
-132.378087,83,35.613442
-132.129421,138,35.686071
-78.469121,113,35.741379
-61.871579,173,35.821875
36.7232,85,35.860506
-68.488957,145,35.931677
-57.618929,80,35.969825
-172.577009,130,36.035015
-33.280505,136,36.29537
-33.498119,92,36.349215
0.896745,87,36.394753
-90.044691,108,36.450864
-64.299948,80,36.488077
-63.828984,83,36.526152
-87.092883,103,36.577278
9.845754,96,36.621477
-101.808321,129,36.68499
-91.67163,82,36.721545
-66.888842,130,36.978749
-46.069012,117,37.040304
-33.146471,78,37.078336
-38.14133,104,37.135799
-82.887545,143,37.203403
-75.742609,109,37.258577
-84.402086,160,37.334968
-120.401661,155,37.407411
-209.912558,145,37.68328
-28.69683,165,37.76639
-25.173591,129,37.832044
-59.07696,99,37.881615
18.402367,196,37.974972
-186.307987,120,38.036594
-88.1311,129,38.099704
-17.789829,136,38.407545
-56.437067,124,38.472136
-4.645336,113,38.525923
-87.333655,68,38.563445
-151.712473,139,38.631085
-13.897374,91,38.6777
-73.381208,96,38.726304
-8.525221,88,38.770945
-82.273978,151,38.844668
-40.31756,97,38.894127
-8.653987,143,39.767477
-77.487046,125,39.825601
-63.920434,149,39.897123
14.763279,95,39.944588
-76.562458,127,40.011933
-38.206169,156,40.086702
-100.880955,142,40.153025
-51.858913,117,40.208749
-30.088708,122,40.443413
-46.810091,150,40.527157
