#{"t_start": 1763241969.2923694, "env_id": "LunarLander-v3"}
r,l,t
-370.380669,122,1.243525
-114.022227,97,1.288526
-140.778196,94,1.329526
29.41693,87,1.367526
-324.202632,90,1.407526
-146.513282,108,1.454537
-274.550327,91,1.495526
-207.968717,114,1.545526
-461.870649,95,1.586526
-285.946622,96,1.628527
-187.387465,117,1.844526
-65.798065,69,1.875526
-347.023379,117,1.933524
-205.635019,99,1.982527
-200.120986,72,2.01853
-98.892427,71,2.051528
-102.044415,83,2.088529
-184.928279,80,2.124529
-97.180246,68,2.15453
-161.291442,104,2.200531
-104.794053,58,2.227529
-83.48996,58,2.253528
-281.914617,89,2.459523
-413.238231,91,2.504524
-225.31418,78,2.552097
-104.800122,81,2.59165
-235.926911,110,2.645769
-188.842865,99,2.690008
-139.176092,82,2.726989
-186.096752,90,2.764999
-129.625854,66,2.793934
-95.92718,131,2.850934
-96.97961,94,2.890926
9.271417,85,3.099929
-99.96117,77,3.138926
-223.951439,98,3.189937
-55.676015,64,3.224928
-143.890802,70,3.263926
-332.862922,91,3.30799
-82.819482,79,3.342932
-243.243751,87,3.379928
-215.41518,99,3.420926
-241.707702,97,3.461934
-190.428433,91,3.512934
-161.590812,58,3.538934
-141.816388,105,3.737926
-388.671032,92,3.786683
-83.978216,74,3.821683
-311.006928,80,3.861682
-199.624464,82,3.905682
-77.588093,73,3.947688
-101.120024,92,3.98969
-95.462614,76,4.024755
-196.373661,136,4.08268
-380.83753,91,4.121744
-108.047031,93,4.162681
-108.041734,63,4.191684
-81.654228,59,4.21668
-198.508261,116,4.492546
-90.181017,69,4.526485
-126.277785,101,4.580486
-86.526062,77,4.616484
-74.817367,102,4.662492
-159.421349,106,4.711566
-212.592447,98,4.754572
-93.390747,78,4.787758
-85.384295,70,4.818897
-99.996725,97,4.860898
-90.460724,88,4.900896
-145.923979,72,5.098887
-318.114397,112,5.151888
-120.232244,96,5.200889
-248.966363,97,5.245892
-149.084346,81,5.284968
-115.227904,90,5.323889
-167.095665,71,5.354897
-194.895802,72,5.385893
-244.203669,69,5.414891
-72.726516,68,5.443951
-126.673656,90,5.482899
-168.804016,99,5.524897
-125.190524,99,5.731908
-115.208012,67,5.763906
2.037394,90,5.807906
-97.633711,96,5.853906
-128.484858,98,5.904989
-104.803184,66,5.934914
-176.022159,122,5.986908
-150.999225,128,6.041908
-91.06337,68,6.070985
-155.632035,74,6.102914
-267.902496,89,6.140921
-244.742462,80,6.334909
-272.486547,119,6.399909
-106.75195,64,6.434909
-69.258211,61,6.46891
-52.418616,72,6.506909
-116.103184,85,6.547909
-145.435986,94,6.590909
-148.986765,85,6.627909
-316.167845,97,6.672914
1.866021,117,6.723914
-91.226333,157,6.794915
-145.763603,129,7.022426
